pk,pk,strength
1018732,1042098,2741
1018977,1042098,2741
1018980,1042098,151
1018980,1042098,2741
1019016,1042098,2741
1019120,1042098,151
1019120,1042098,2741
1019183,1042098,151
1019183,1042098,2741
1019334,1042098,151
1019334,1042098,2131
1019334,1042098,2741
1019541,1042098,151
1019541,1042098,2741
1020215,1042098,151
1020215,1042098,2741
1020627,1042098,2131
1020627,1042098,2741
1020960,1042098,151
1020960,1042098,2741
1038768,1042098,2741
1042028,1042098,2892
1047817,1042098,151
1047817,1042098,2741
1064235,1042098,151
1064235,1042098,2741
1018488,1047265,2861
1019581,1047265,2861
1019593,1047265,2861
1019648,1047265,821
1019648,1047265,2861
1019833,1047265,2861
1019847,1047265,821
1019847,1047265,2861
1020029,1047265,821
1020029,1047265,2861
1020428,1047265,2861
1020596,1047265,2861
1020644,1047265,821
1020644,1047265,2861
1062815,1047265,821
1062815,1047265,2861
1088433,1047265,2861
1018695,1047817,151
1018695,1047817,2741
1018732,1047817,151
1018732,1047817,2161
1018732,1047817,2741
1018977,1047817,486
1018977,1047817,2741
1018980,1047817,151
1018980,1047817,486
1018980,1047817,2741
1019016,1047817,486
1019016,1047817,2741
1019120,1047817,151
1019120,1047817,486
1019120,1047817,2741
1019183,1047817,151
1019183,1047817,426
1019183,1047817,2741
1019334,1047817,151
1019334,1047817,2741
1019541,1047817,151
1019541,1047817,426
1019541,1047817,2741
1020215,1047817,151
1020215,1047817,2161
1020215,1047817,2741
1020627,1047817,2741
1020960,1047817,151
1020960,1047817,486
1020960,1047817,2741
1038768,1047817,2161
1038768,1047817,2741
1042028,1047817,486
1042028,1047817,2892
1042098,1047817,151
1042098,1047817,2741
1064235,1047817,151
1064235,1047817,2741
1053293,1048610,31
1053293,1048610,274
1054534,1048610,31
1054534,1048610,274
1095238,1048610,31
1018973,1050956,456
1018977,1050956,486
1018980,1050956,486
1019016,1050956,486
1019117,1050956,6209
1019120,1050956,486
1020383,1050956,578
1020960,1050956,486
1042028,1050956,486
1048610,1053293,31
1048610,1053293,274
1054534,1053293,31
1054534,1053293,274
1095238,1053293,31
1095238,1053293,15311
1020747,1054408,1551
1020747,1054408,3257
1048610,1054534,31
1048610,1054534,274
1053293,1054534,31
1053293,1054534,274
1095238,1054534,31
1019111,1057151,6787
1019594,1057151,6787
1018860,1059028,3712
1020167,1059028,3712
1018494,1059965,12754
1019205,1059965,12754
1020013,1059965,12754
1020070,1060002,3012
1019593,1060571,2010
1019909,1060571,2953
1019268,1061577,3012
1019848,1061577,3012
1020751,1061577,5023
1029796,1061577,7853
1018488,1062815,2861
1019581,1062815,2861
1019581,1062815,8675
1019593,1062815,2861
1019648,1062815,821
1019648,1062815,2861
1019648,1062815,8675
1019833,1062815,2861
1019847,1062815,821
1019847,1062815,2861
1020029,1062815,821
1020029,1062815,2861
1020029,1062815,8675
1020428,1062815,2861
1020596,1062815,821
1020596,1062815,2861
1020644,1062815,821
1020644,1062815,2861
1020644,1062815,8675
1047265,1062815,821
1047265,1062815,2861
1088433,1062815,2861
1088433,1062815,8766
1018695,1064235,151
1018695,1064235,2253
1018732,1064235,151
1018732,1064235,2741
1018980,1064235,151
1018980,1064235,2741
1019120,1064235,151
1019120,1064235,2741
1019183,1064235,151
1019183,1064235,2741
1019334,1064235,151
1019334,1064235,2741
